concept id	name	element file id.obj
FMA50519	right posterior inferior cerebellar artery	FJ1700.obj
FMA50519	right posterior inferior cerebellar artery	FJ1711.obj
FMA50542	basilar artery	FJ1844.obj
FMA50542	basilar artery	FJ1672.obj
FMA50544	anterior inferior cerebellar artery	FJ1656M.obj
FMA50544	anterior inferior cerebellar artery	FJ1656.obj
FMA50566	medial branch of right pontine artery	FJ1689.obj
FMA50568	lateral branch of right pontine artery	FJ1684.obj
FMA50569	lateral branch of left pontine artery	FJ1684M.obj
FMA50567	medial branch of left pontine artery	FJ1689M.obj
FMA50660	posteromedial central branch of right posterior cerebral artery	FJ1721.obj
FMA50670	right thalamogeniculate artery	FJ1675.obj
FMA50645	right medial occipital artery	FJ1691.obj
FMA50684	right splenial artery	FJ1677.obj
FMA50684	right splenial artery	FJ1678.obj
FMA50664	right thalamoperforating artery	FJ1720.obj
FMA50639	precommunicating part of right posterior cerebral artery	FJ1723.obj
FMA50643	right lateral occipital artery	FJ1687.obj
newnode114190	posterior temporal branch of right lateral occipital artery	FJ1719.obj
FMA50678	anterior temporal branch of right lateral occipital artery	FJ1661.obj
FMA50680	middle temporal branch of right lateral occipital artery	FJ1680.obj
FMA50672	right posterior medial choroidal artery	FJ1727.obj
FMA50641	postcommunicating part of right posterior cerebral artery	FJ1714.obj
FMA50575	left superior cerebellar artery	FJ1726M.obj
newnode943541	medial branch of left superior cerebellar artery	FJ1688M.obj
newnode7675660	superior vermian branch of medial branch of left superior cerebellar artery	FJ1728M.obj
FMA50579	lateral branch of left superior cerebellar artery	FJ1683M.obj
FMA50574	right superior cerebellar artery	FJ1726.obj
FMA50578	lateral branch of right superior cerebellar artery	FJ1683.obj
newnode6343132	medial branch of right superior cerebellar artery	FJ1688.obj
newnode1246823	superior vermian branch of medial branch of right superior cerebellar artery	FJ1728.obj
FMA50642	postcommunicating part of left posterior cerebral artery	FJ1714M.obj
FMA50673	left posterior medial choroidal artery	FJ1727M.obj
FMA50644	left lateral occipital artery	FJ1687M.obj
FMA50681	middle temporal branch of left lateral occipital artery	FJ1680M.obj
FMA50679	anterior temporal branch of left lateral occipital artery	FJ1661M.obj
FMA71502	posterior temporal branch of left lateral occipital artery	FJ1719M.obj
FMA50661	posteromedial central branch of left posterior cerebral artery	FJ1721M.obj
FMA50665	left thalamoperforating artery	FJ1720M.obj
FMA50646	left medial occipital artery	FJ1691M.obj
FMA50685	left splenial artery	FJ1677M.obj
FMA50685	left splenial artery	FJ1678M.obj
FMA50671	left thalamogeniculate artery	FJ1675M.obj
FMA50640	precommunicating part of left posterior cerebral artery	FJ1723M.obj
FMA22655	right axillary artery	FJ2268.obj
FMA14177	bronchial branch of aortic arch	FJ3418.obj
FMA4694	left subclavian artery	FJ3479.obj
FMA4134	left deep cervical artery	FJ2226.obj
FMA4088	left superior intercostal artery	FJ1970.obj
newnode1803970	left first posterior intercostal artery	FJ1973.obj
newnode6078660	left second posterior intercostal artery	FJ1974.obj
FMA4086	left costocervical trunk	FJ2224.obj
FMA23064	pectoral branch of left thoraco-acromial artery	FJ2330.obj
FMA66564	trunk of left thoraco-acromial artery	FJ2252.obj
FMA23073	deltoid branch of left thoraco-acromial artery	FJ2230.obj
FMA23069	acromial branch of left thoraco-acromial artery	FJ2211.obj
FMA22656	left axillary artery	FJ2216.obj
FMA4084	left thyrocervical trunk	FJ2255.obj
FMA10681	left suprascapular artery	FJ2251.obj
FMA10680	left inferior thyroid artery	FJ2210.obj
FMA10682	left transverse cervical artery	FJ2257.obj
FMA10683	left superficial cervical artery	FJ2256.obj
FMA10552	left dorsal scapular artery	FJ2232.obj
FMA22692	left brachial artery	FJ2219.obj
FMA22697	left deep brachial artery	FJ2225.obj
FMA23125	middle collateral branch of left deep brachial artery	FJ2331.obj
FMA23127	radial collateral branch of left deep brachial artery	FJ2261.obj
FMA22687	left posterior circumflex humeral artery	FJ2239.obj
FMA22687	left posterior circumflex humeral artery	FJ2240.obj
FMA22798	left ulnar artery	FJ2258.obj
FMA22805	left posterior ulnar recurrent artery	FJ2241.obj
FMA22822	left dorsal carpal branch of ulnar artery	FJ2236.obj
FMA22808	left common interosseous artery	FJ2223.obj
FMA268669	left recurrent interosseous artery	FJ2245.obj
FMA22813	left anterior interosseous artery	FJ2214.obj
FMA22802	left anterior ulnar recurrent artery	FJ2259.obj
FMA22713	left inferior ulnar collateral artery	FJ2215.obj
FMA22708	left superior ulnar collateral artery	FJ2374.obj
FMA22734	left radial artery	FJ2242.obj
FMA22840	left deep palmar arch	FJ2227.obj
newnode303354	left palmar metacarpal artery	FJ2237.obj
newnode198023	left superficial palmar arterial arch	FJ2337.obj
newnode198023	left superficial palmar arterial arch	FJ2315.obj
newnode198023	left superficial palmar arterial arch	FJ2248.obj
newnode198023	left superficial palmar arterial arch	FJ2336.obj
newnode198023	left superficial palmar arterial arch	FJ2317.obj
newnode198023	left superficial palmar arterial arch	FJ2316.obj
newnode198023	left superficial palmar arterial arch	FJ2333.obj
newnode198023	left superficial palmar arterial arch	FJ2335.obj
newnode198023	left superficial palmar arterial arch	FJ2334.obj
FMA22766	left radial recurrent artery	FJ2243.obj
FMA22773	dorsal carpal branch of left radial artery	FJ2231.obj
newnode7384868	left arteria princeps pollicis	FJ2339.obj
newnode7384868	left arteria princeps pollicis	FJ2338.obj
FMA70800	left dorsal metacarpal arteries	FJ2348.obj
FMA70801	left dorsal digital arteries	FJ2318.obj
newnode5816829	left arteria radialis indicis	FJ2314.obj
newnode5816829	left arteria radialis indicis	FJ2332.obj
FMA22683	left anterior circumflex humeral artery	FJ2212.obj
FMA22676	left lateral thoracic artery	FJ1976.obj
FMA4068	left internal thoracic artery	FJ1972.obj
FMA4083	left superior epigastric artery	FJ1971.obj
FMA4077	left musculophrenic artery	FJ1979.obj
FMA14747	left inferior phrenic artery	FJ3519.obj
FMA14747	left inferior phrenic artery	FJ3517.obj
FMA14747	left inferior phrenic artery	FJ3518.obj
FMA14747	left inferior phrenic artery	FJ3515.obj
FMA14747	left inferior phrenic artery	FJ3516.obj
FMA14747	left inferior phrenic artery	FJ3514.obj
FMA14747	left inferior phrenic artery	FJ3520.obj
FMA22679	left subscapular artery	FJ2246.obj
FMA66322	left thoracodorsal artery	FJ2253.obj
FMA23181	left circumflex scapular artery	FJ2221.obj
FMA4066	left vertebral artery	FJ1657.obj
FMA4066	left vertebral artery	FJ1725M.obj
FMA50533	left anterior spinal artery	FJ1657M.obj
FMA50520	left posterior inferior cerebellar artery	FJ1710M.obj
FMA50520	left posterior inferior cerebellar artery	FJ1700M.obj
FMA50520	left posterior inferior cerebellar artery	FJ1711M.obj
FMA50520	left posterior inferior cerebellar artery	FJ1701M.obj
FMA50520	left posterior inferior cerebellar artery	FJ1702M.obj
FMA50520	left posterior inferior cerebellar artery	FJ1703M.obj
FMA50520	left posterior inferior cerebellar artery	FJ1704M.obj
FMA50520	left posterior inferior cerebellar artery	FJ1715M.obj
FMA50520	left posterior inferior cerebellar artery	FJ1705M.obj
FMA50520	left posterior inferior cerebellar artery	FJ1706M.obj
FMA50520	left posterior inferior cerebellar artery	FJ1707M.obj
FMA50520	left posterior inferior cerebellar artery	FJ1708M.obj
FMA50520	left posterior inferior cerebellar artery	FJ1709M.obj
FMA4058	left common carotid artery	FJ3483.obj
FMA4062	left internal carotid artery	FJ1682M.obj
FMA50477	branch of left middle cerebral artery to left angular gyrus	FJ1673M.obj
FMA50474	temporo-occipital branch of left middle cerebral artery	FJ1729M.obj
FMA76129	trunk of inferior terminal branch of left middle cerebral artery	FJ1718M.obj
FMA50468	middle temporal branch of left middle cerebral artery	FJ1693M.obj
FMA50471	posterior temporal branch of left middle cerebral artery	FJ1717M.obj
FMA50370	insular part of left middle cerebral artery	FJ1660M.obj
FMA50370	insular part of left middle cerebral artery	FJ1694M.obj
FMA50367	sphenoid part of left middle cerebral artery	FJ1692M.obj
FMA50378	anterolateral central branch of left middle cerebral artery	FJ1663M.obj
FMA50378	anterolateral central branch of left middle cerebral artery	FJ1662M.obj
FMA50384	left anterior temporal artery	FJ1659M.obj
FMA50381	left polar temporal artery	FJ1712M.obj
newnode6565801	left prefrontal artery	FJ1724M.obj
newnode5507411	left lateral frontobasal artery	FJ1686M.obj
newnode5507411	left lateral frontobasal artery	FJ1685M.obj
newnode3479241	artery of left postcentral sulcus	FJ1666M.obj
newnode839901	left anterior parietal artery	FJ1667M.obj
newnode9072844	left posterior parietal artery	FJ1716M.obj
newnode4715377	artery of left precentral sulcus	FJ1668M.obj
newnode4715377	artery of left precentral sulcus	FJ1669M.obj
newnode4715377	artery of left precentral sulcus	FJ1670M.obj
newnode5856302	left anterior cerebral artery	FJ1654M.obj
newnode4941651	anterior communicating artery	FJ1655.obj
newnode9951986	left anterior choroidal artery	FJ1658M.obj
newnode9494264	left pericallosal artery	FJ1699M.obj
newnode1292967	precuneal branch of left pericallosal artery	FJ1671M.obj
newnode6357187	left medial frontobasal artery	FJ1690M.obj
newnode5831165	left callosomarginal artery	FJ1676M.obj
newnode8422762	posteromedial branch of left callosomarginal artery	FJ1722M.obj
newnode2776650	intermediomedial branch of left callosomarginal artery	FJ1681M.obj
newnode484135	paracentral branch of left callosomarginal artery	FJ1697M.obj
newnode484135	paracentral branch of left callosomarginal artery	FJ1696M.obj
newnode484135	paracentral branch of left callosomarginal artery	FJ1698M.obj
newnode2300492	branch of left anterior choroidal artery to posterior limb of internal capsule	FJ1674M.obj
newnode4595420	left ophthalmic artery	FJ1695M.obj
newnode3243019	left posterior communicating artery	FJ1713M.obj
newnode3277422	hypothalamic branch of left posterior communicating artery	FJ1679M.obj
FMA3784	descending aorta	FJ3427.obj
FMA87217	descending thoracic aorta	FJ1931.obj
newnode3632152	right posterior intercostal arteries 3-11	FJ1961.obj
FMA4634	right subcostal artery	FJ1967.obj
FMA63822	left posterior intercostal arteries 3-11	FJ1975.obj
FMA4654	left subcostal artery	FJ1977.obj
FMA4149	esophageal artery	FJ1934.obj
FMA71537	set of oesophageal branches of thoracic aorta	FJ3431.obj
FMA14735	lumbar artery	FJ3636.obj
FMA14735	lumbar artery	FJ3632.obj
FMA68109	bronchial artery	FJ1933.obj
