concept id	name	element file id
FMA20394	human body	FJ3206
FMA20394	human body	FJ3448
FMA20394	human body	FJ3205
FMA20394	human body	FJ3447
FMA20394	human body	FJ3208
FMA20394	human body	FJ3207
FMA20394	human body	FJ3449
FMA20394	human body	FJ2597
FMA20394	human body	FJ3202
FMA20394	human body	FJ2596
FMA20394	human body	FJ3201
FMA20394	human body	FJ2599
FMA20394	human body	FJ3204
FMA20394	human body	FJ3446
FMA20394	human body	FJ1707M
FMA20394	human body	FJ2598
FMA20394	human body	FJ3203
FMA20394	human body	FJ2593
FMA20394	human body	FJ2592
FMA20394	human body	FJ2595
FMA20394	human body	FJ3200
FMA20394	human body	FJ3442
FMA20394	human body	FJ2594
FMA20394	human body	FJ3441
FMA20394	human body	FJ2528
FMA20394	human body	FJ3618
FMA20394	human body	FJ2527
FMA20394	human body	FJ3619
FMA20394	human body	FJ2529
FMA20394	human body	FJ3617
FMA20394	human body	FJ1677
FMA20394	human body	FJ2524
FMA20394	human body	FJ2766
FMA20394	human body	FJ3614
FMA20394	human body	FJ2523
FMA20394	human body	FJ2526
FMA20394	human body	FJ2768
FMA20394	human body	FJ1678
FMA20394	human body	FJ2525
FMA20394	human body	FJ1431
FMA20394	human body	FJ2520
FMA20394	human body	FJ2762
FMA20394	human body	FJ1672
FMA20394	human body	FJ2761
FMA20394	human body	FJ1675
FMA20394	human body	FJ2522
FMA20394	human body	FJ2521
FMA20394	human body	FJ1708M
FMA20394	human body	FJ2760
FMA20394	human body	FJ2539
FMA20394	human body	FJ2538
FMA20394	human body	FJ1446
FMA20394	human body	FJ2535
FMA20394	human body	FJ3625
FMA20394	human body	FJ1687
FMA20394	human body	FJ2534
FMA20394	human body	FJ3626
FMA20394	human body	FJ2537
FMA20394	human body	FJ3623
FMA20394	human body	FJ1689
FMA20394	human body	FJ2536
FMA20394	human body	FJ3624
FMA20394	human body	FJ1684
FMA20394	human body	FJ2531
FMA20394	human body	FJ3621
FMA20394	human body	FJ2530
FMA20394	human body	FJ2772
FMA20394	human body	FJ3622
FMA20394	human body	FJ2533
FMA20394	human body	FJ2532
FMA20394	human body	FJ3620
FMA20394	human body	FJ1680
FMA20394	human body	FJ1709M
FMA20394	human body	FJ1682
FMA20394	human body	FJ2308
FMA20394	human body	FJ2307
FMA20394	human body	FJ3638
FMA20394	human body	FJ2309
FMA20394	human body	FJ2304
FMA20394	human body	FJ1456
FMA20394	human body	FJ2303
FMA20394	human body	FJ1459
FMA20394	human body	FJ2548
FMA20394	human body	FJ2305
FMA20394	human body	FJ1695
FMA20394	human body	FJ1452
FMA20394	human body	FJ2541
FMA20394	human body	FJ2543
FMA20394	human body	FJ1691
FMA20394	human body	FJ2540
FMA20394	human body	FJ1450
FMA20394	human body	FJ1692
FMA20394	human body	FJ3649
FMA20394	human body	FJ2557
FMA20394	human body	FJ2556
FMA20394	human body	FJ3648
FMA20394	human body	FJ3406
FMA20394	human body	FJ3645
FMA20394	human body	FJ2558
FMA20394	human body	FJ1464
FMA20394	human body	FJ2311
FMA20394	human body	FJ2310
